"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 27 18:36:07 GET 2023","Tue Jun 27 18:36:09 GET 2023","1547","Default Suite","Deserialization.java","TestRunner","TestRunner","test","test",""
"broken","Fri Jun 23 16:07:58 GET 2023","Fri Jun 23 16:07:59 GET 2023","1481","Default Suite","Main.java","RestAssuredBasics3","RestAssuredBasics3","assertTest","assertTest",""
"broken","Tue Jun 27 18:36:09 GET 2023","Tue Jun 27 18:36:09 GET 2023","19","Default Suite","Deserialization.java","TestRunner","TestRunner","testFindPerson","testFindPerson",""
"broken","Tue Jun 20 18:35:40 GET 2023","Tue Jun 20 18:35:40 GET 2023","1","Default Suite","RestAPITest.java","RestAssuredBasics2","RestAssuredBasics2","setup","setup",""
"skipped","Tue Jun 20 18:35:40 GET 2023","Tue Jun 20 18:35:40 GET 2023","0","Default Suite","RestAPITest.java","RestAssuredBasics2","RestAssuredBasics2","testTwo","testTwo",""
"passed","Tue Jun 27 16:55:44 GET 2023","Tue Jun 27 16:55:51 GET 2023","7123","Default Suite","Deserialization.java","ObjectMapping.MainTest","ObjectMapping.MainTest","test","test",""
"passed","Fri Jun 16 23:38:04 GET 2023","Fri Jun 16 23:38:06 GET 2023","1444","Default Suite","untitled","RestAPITest","RestAPITest","circuitTest","circuitTest",""
"passed","Fri Jun 16 23:52:39 GET 2023","Fri Jun 16 23:52:40 GET 2023","1632","Default Suite","untitled","RestAPITest","RestAPITest","circuitTest","circuitTest",""
"passed","Thu Jun 29 15:13:46 GET 2023","Thu Jun 29 15:13:46 GET 2023","5","Default Suite","Deserialization.java","RestAssured5.MainTest","RestAssured5.MainTest","test","test",""
"skipped","Tue Jun 20 18:35:40 GET 2023","Tue Jun 20 18:35:40 GET 2023","1","Default Suite","RestAPITest.java","RestAssuredBasics2","RestAssuredBasics2","test","test",""
"passed","Fri Jun 16 23:42:15 GET 2023","Fri Jun 16 23:42:16 GET 2023","1410","Default Suite","untitled","RestAPITest","RestAPITest","circuitTest","circuitTest",""
"passed","Fri Jun 16 23:52:40 GET 2023","Fri Jun 16 23:52:41 GET 2023","443","Default Suite","untitled","RestAPITest","RestAPITest","circuitTest","circuitTest",""
"passed","Tue Jun 27 16:55:51 GET 2023","Tue Jun 27 16:55:52 GET 2023","950","Default Suite","Deserialization.java","ObjectMapping.MainTest","ObjectMapping.MainTest","test2","test2",""
"passed","Fri Jun 23 16:38:30 GET 2023","Fri Jun 23 16:38:32 GET 2023","2009","Default Suite","Main.java","ObjectMapping.Deserilization","ObjectMapping.Deserilization","test","test",""
"passed","Thu Jun 22 18:39:33 GET 2023","Thu Jun 22 18:39:36 GET 2023","3036","Default Suite","Main.java","RestAssuredBasics3","RestAssuredBasics3","authTest","authTest",""
